"ticket","trade-date","pnl","volume","lots","sl","tp","swap","commissions","duration","side","open-time","open-price","close-price","close-time","symbol","comment"
"922835","31/07/2024 01:30:01 PM","906","14772.999999999998","100","","","","","00:00:01:41","SELL","31/07/2024 01:30:01 PM","138.67","147.73","31/07/2024 01:31:42 PM","AMD.NAS",""
"922840","31/07/2024 01:30:01 PM","896","14763","100","","","","","00:00:01:42","SELL","31/07/2024 01:30:01 PM","138.67","147.63","31/07/2024 01:31:44 PM","AMD.NAS",""
"922845","31/07/2024 01:30:02 PM","1156","15022.999999999998","100","150.23","155","","","00:00:32:50","SELL","31/07/2024 01:30:02 PM","138.67","150.23","31/07/2024 02:02:52 PM","AMD.NAS",""
"922850","31/07/2024 01:30:02 PM","1153","15019.999999999998","100","150.2","155","","","00:00:32:50","SELL","31/07/2024 01:30:02 PM","138.67","150.2","31/07/2024 02:02:52 PM","AMD.NAS",""
"987066","01/08/2024 01:30:07 PM","2846.25","38403.75","75","","","","","00:00:07:41","SELL","01/08/2024 01:30:07 PM","474.1","512.05","01/08/2024 01:37:48 PM","META.NAS",""
"990629","01/08/2024 01:46:34 PM","20","42566","100","","","","","00:00:03:37","SELL","01/08/2024 01:46:34 PM","425.46","425.66","01/08/2024 01:50:11 PM","MSFT.NAS",""
"991307","01/08/2024 01:49:46 PM","-33","11961","100","","","","","00:00:06:54","BUY","01/08/2024 01:49:46 PM","119.28","119.61","01/08/2024 01:56:41 PM","NVDA.NAS",""
"991312","01/08/2024 01:49:47 PM","-36","11963","100","","","","","00:00:06:54","BUY","01/08/2024 01:49:47 PM","119.27","119.63","01/08/2024 01:56:41 PM","NVDA.NAS",""
"1007167","01/08/2024 02:48:17 PM","-76.5","16855.5","75","224.75","","","","00:00:10:41","SELL","01/08/2024 02:48:17 PM","225.76","224.74","01/08/2024 02:58:59 PM","TSLA.NAS",""
"1007162","01/08/2024 02:48:17 PM","-96","16837.5","75","224.53","","","","00:00:12:56","SELL","01/08/2024 02:48:17 PM","225.78","224.5","01/08/2024 03:01:13 PM","TSLA.NAS",""
